,Country,Region,Year,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
1379,Canada,North America,2008,5.9,72.9125,8.4,28,26.8,96,92,0.1,42064,12.4,1,0,80.7
1380,Ethiopia,Africa,2004,115.3,353.864,0.21,52,20.1,54,40,0.73,286,1.8,0,1,55.2
1381,Cote d'Ivoire,Africa,2007,118.2,430.5715,0.91,76,23.3,75,76,1.85,1558,3.9,0,1,51.1
1382,Ecuador,South America,2007,21.7,140.35,3.99,94,26.1,95,96,0.17,5048,7.3,0,1,74.5
1383,Finland,European Union,2014,2.6,72.193,8.76,88,25.9,98,98,0.08,42711,12.4,1,0,81.2
1384,Senegal,Africa,2014,52.3,193.5185,0.19,89,22.9,85,89,0.1,1179,2.8,0,1,66.4
1385,Turkiye,Middle East,2011,16.9,113.8015,1.47,96,27.5,97,97,0.08,9299,7.2,0,1,74.9
1386,Tunisia,Africa,2009,18.9,99.6225,1.36,99,25.8,99,99,0.04,3881,6.4,0,1,74.9
1387,"Bahamas, The",Central America and Caribbean,2004,16.8,180.7985,9.61,93,27.1,92,93,0.7,35122,10.9,0,1,72.0
1388,Guatemala,Central America and Caribbean,2003,46.2,198.056,2.34,87,25.3,84,84,0.33,3251,3.7,0,1,69.1
1389,Barbados,Central America and Caribbean,2014,14.3,100.3405,9.27,94,27.6,95,94,0.29,16188,10.5,0,1,78.7
1390,Netherlands,European Union,2000,6.2,83.609,10.13,88,25.0,97,97,0.06,40457,10.8,1,0,78.0
1391,Uganda,Africa,2009,81.5,369.69,11.1,79,21.9,78,79,3.29,750,5.2,0,1,56.1
1392,Uruguay,South America,2008,11.8,114.3705,6.54,94,26.5,94,94,0.22,12022,8.4,0,1,76.4
1393,Luxembourg,European Union,2014,2.8,58.7975,11.42,94,26.2,99,99,0.1,105584,12.0,1,0,82.2
1394,Switzerland,Rest of Europe,2007,4.8,62.047,10.44,88,25.0,94,94,0.07,81805,12.6,1,0,81.7
1395,Costa Rica,Central America and Caribbean,2008,10.9,93.787,4.29,89,26.6,89,90,0.16,10053,8.4,0,1,78.5
1396,"Gambia, The",Africa,2004,95.6,290.417,3.56,95,22.6,88,87,1.48,751,2.3,0,1,57.6
1397,South Africa,Africa,2010,52.0,449.3985,7.07,71,26.9,72,72,9.52,6085,10.0,0,1,57.7
1398,Brunei Darussalam,Asia,2001,10.1,104.114,0.44,99,25.4,99,97,0.1,34291,8.3,0,1,73.1
1399,Panama,Central America and Caribbean,2010,19.9,121.6565,6.1,94,26.5,95,94,0.4,10232,9.3,0,1,76.8
1400,Lesotho,Africa,2006,116.5,592.0125,2.77,91,24.4,88,89,16.06,874,5.4,0,1,42.6
1401,Azerbaijan,Asia,2005,51.9,150.584,0.73,49,26.0,79,75,0.19,2632,10.7,0,1,68.7
1402,South Africa,Africa,2007,75.3,522.8285,7.5,83,26.7,79,82,10.86,6060,9.1,0,1,54.5
1403,Nicaragua,Central America and Caribbean,2014,20.2,150.6365,3.54,98,27.1,99,98,0.11,1982,6.5,0,1,73.4
1404,"Iran, Islamic Rep.",Middle East,2010,19.3,104.022,0.03,99,25.8,99,99,0.08,5496,9.0,0,1,73.9
1405,Jamaica,Central America and Caribbean,2002,21.1,166.4425,3.61,98,25.8,99,99,0.84,4934,7.7,0,1,74.1
1406,Lesotho,Africa,2010,96.4,548.4965,2.75,93,24.7,92,93,12.44,996,5.6,0,1,45.1
1407,Oman,Middle East,2009,11.8,100.71,0.5,98,25.9,96,98,0.05,21458,7.7,0,1,75.4
1408,"Egypt, Arab Rep.",Africa,2012,26.3,155.3845,0.19,93,29.1,93,93,0.13,3472,6.8,0,1,70.7
1409,Ghana,Africa,2000,99.7,299.502,1.95,80,22.6,88,88,1.75,1041,6.1,0,1,57.0
1410,Japan,Asia,2009,3.3,63.037,6.98,83,22.7,99,97,0.17,31651,11.4,1,0,82.9
1411,Spain,European Union,2012,3.6,61.3175,8.6,96,26.1,96,97,0.09,24635,9.5,1,0,82.4
1412,Spain,European Union,2011,3.7,63.491,8.74,97,26.1,97,97,0.09,25403,9.5,1,0,82.5
1413,Croatia,European Union,2011,5.3,99.7905,11.01,97,26.8,96,96,0.02,11780,11.0,1,0,76.8
1414,Uganda,Africa,2000,146.1,537.6,11.68,52,21.2,55,52,4.6,517,3.9,0,1,46.2
1415,Serbia,Rest of Europe,2006,8.4,139.896,8.82,93,25.6,97,92,0.01,4648,10.2,0,1,73.4
1416,Czechia,European Union,2002,5.0,118.748,13.77,86,26.5,97,98,0.08,12960,11.1,1,0,75.2
1417,Sierra Leone,Africa,2000,224.9,531.3245,3.75,71,22.0,46,44,1.59,403,2.3,0,1,39.4
1418,Lebanon,Middle East,2009,10.7,69.5575,1.53,81,27.0,76,81,0.03,8687,7.9,0,1,78.2
1419,Czechia,European Union,2010,3.4,97.8545,12.68,99,26.8,99,99,0.08,16506,12.4,1,0,77.4
1420,Philippines,Asia,2002,36.2,213.186,4.39,42,22.3,77,79,0.01,1876,7.9,0,1,68.9
1421,Dominican Republic,Central America and Caribbean,2002,38.1,184.5125,6.65,63,25.1,74,82,0.88,4376,6.7,0,1,70.0
1422,Sri Lanka,Asia,2000,16.5,165.2695,1.45,86,21.5,99,99,0.02,1923,10.0,0,1,71.3
1423,Cyprus,European Union,2014,2.9,52.635,9.63,96,26.8,99,99,0.06,22514,11.9,1,0,80.2
1424,Latvia,European Union,2001,13.3,232.029,6.68,96,25.6,97,97,0.21,7245,10.0,1,0,70.8
1425,Benin,Africa,2005,121.5,270.725,1.24,70,22.6,73,70,0.79,944,2.8,0,1,57.4
1426,Madagascar,Africa,2003,92.4,268.6985,0.83,61,20.8,65,66,0.04,453,5.4,0,1,60.3
1427,Pakistan,Asia,2000,107.8,188.328,0.015,64,22.5,61,62,0.13,1029,3.3,0,1,62.8
1428,Cote d'Ivoire,Africa,2008,114.2,427.1045,0.97,74,23.3,58,74,1.66,1596,4.0,0,1,51.7
1429,Grenada,Central America and Caribbean,2001,15.2,176.8515,9.77,96,25.4,96,96,0.4,6809,7.4,0,1,72.8
1430,Finland,European Union,2000,4.3,103.8765,8.88,88,25.7,96,99,0.08,37884,9.3,1,0,77.5
1431,Kiribati,Oceania,2009,65.2,208.5885,0.54,86,29.5,84,86,0.17,1409,7.8,0,1,65.5
1432,Bulgaria,European Union,2004,14.2,154.1315,10.7,94,25.5,94,95,0.02,4850,10.1,1,0,72.6
1433,Cambodia,Asia,2014,33.4,179.3025,3.07,88,22.0,92,88,0.11,1105,4.7,0,1,68.3
1434,Nicaragua,Central America and Caribbean,2000,38.5,196.9585,3.58,83,25.8,85,83,0.16,1445,5.1,0,1,69.5
1435,Guyana,South America,2001,45.2,229.173,7.36,85,24.8,90,85,0.98,3947,7.8,0,1,65.5
1436,Ethiopia,Africa,2009,86.7,279.805,0.32,56,20.3,65,58,0.4,414,2.3,0,1,60.6
1437,Turkmenistan,Asia,2010,43.1,200.751,2.9,96,25.8,96,96,0.08,4266,9.9,0,1,66.7
1438,Lithuania,European Union,2007,8.0,237.8385,13.79,96,26.2,95,95,0.07,11985,12.1,1,0,70.9
1439,Russian Federation,Rest of Europe,2001,18.3,307.7435,10.47,43,25.8,97,96,0.08,5619,11.4,0,1,65.4
1440,Cabo Verde,Africa,2012,24.0,131.7085,4.93,94,24.3,94,94,0.24,3085,5.4,0,1,71.4
1441,Myanmar,Asia,2005,77.2,225.6425,0.63,62,21.7,86,73,0.47,542,3.5,0,1,61.6
1442,Portugal,European Union,2008,4.0,89.2665,11.47,97,25.8,97,97,0.17,19986,7.8,1,0,78.5
1443,Uruguay,South America,2011,10.3,110.371,6.02,95,26.8,95,95,0.23,14086,8.4,0,1,76.9
1444,Ukraine,Rest of Europe,2014,9.8,203.08,7.58,22,26.5,45,23,0.24,2346,11.3,0,1,71.2
1445,Ireland,European Union,2004,5.6,81.2525,13.11,95,26.7,89,89,0.06,47731,11.6,1,0,78.5
1446,Denmark,European Union,2012,4.1,75.094,9.23,88,25.3,94,94,0.04,51567,12.8,1,0,80.1
1447,Tanzania,Africa,2002,114.0,446.4505,5.14,89,22.2,91,89,4.03,611,4.3,0,1,52.1
1448,Botswana,Africa,2001,80.0,574.7605,5.5,87,23.7,97,97,17.96,4495,7.7,0,1,50.3
1449,Sri Lanka,Asia,2006,13.5,129.7315,1.96,98,22.1,98,98,0.02,2398,10.5,0,1,74.9
1450,Malta,European Union,2013,6.6,53.4165,7.32,94,27.1,99,99,0.08,22071,11.0,1,0,81.7
1451,Uzbekistan,Asia,2004,46.8,182.4795,2.82,99,25.2,99,99,0.1,1476,9.7,0,1,68.1
1452,Serbia,Rest of Europe,2011,7.4,124.594,8.55,94,25.8,94,94,0.02,5354,10.6,0,1,74.5
1453,Finland,European Union,2009,3.2,89.883,9.96,88,26.0,99,99,0.08,42412,12.2,1,0,79.7
1454,Austria,European Union,2002,5.3,89.4275,12.09,81,25.1,82,83,0.08,39636,9.4,1,0,78.7
1455,Suriname,South America,2006,25.7,192.5215,4.57,84,25.9,84,84,0.81,7896,7.7,0,1,69.2
1456,Mali,Africa,2014,112.4,272.427,0.61,73,22.9,62,73,0.42,729,2.3,0,1,57.0
1457,Croatia,European Union,2008,5.9,104.768,11.36,97,26.4,96,96,0.02,12790,10.3,1,0,75.9
1458,Niger,Africa,2014,98.0,253.126,0.12,68,21.7,79,68,0.06,482,1.7,0,1,60.1
1459,Kazakhstan,Asia,2000,42.5,290.732,5.81,99,25.6,96,97,0.02,4446,10.5,0,1,65.5
1460,Croatia,European Union,2013,5.1,95.4975,10.39,96,27.0,96,96,0.02,11537,11.0,1,0,77.1
1461,Japan,Asia,2007,3.5,65.136,7.28,83,22.6,97,98,0.17,33990,11.3,1,0,82.5
1462,India,Asia,2000,91.7,221.6305,0.93,67,20.7,57,58,0.34,758,4.4,0,1,62.5
1463,Norway,Rest of Europe,2014,2.8,56.476,6.06,88,26.6,93,93,0.04,73650,12.5,1,0,82.1
1464,Togo,Africa,2009,91.7,309.5725,1.16,78,23.0,78,78,1.28,468,4.3,0,1,56.8
1465,Belize,Central America and Caribbean,2003,21.7,193.551,5.63,96,27.7,95,96,1.47,4736,10.2,0,1,69.5
1466,Vietnam,Asia,2008,23.5,133.6115,1.78,87,20.8,93,93,0.19,1833,7.0,0,1,74.6
1467,Ethiopia,Africa,2011,77.7,252.8295,0.45,65,20.4,70,65,0.32,490,2.4,0,1,62.5
1468,Cote d'Ivoire,Africa,2013,97.0,407.6445,1.22,80,23.6,79,80,0.84,1769,4.7,0,1,54.9
1469,Mali,Africa,2002,174.7,318.8575,0.61,78,21.8,65,61,0.92,641,1.4,0,1,49.5
1470,Turkiye,Middle East,2013,14.7,109.578,1.33,97,27.7,98,98,0.08,10226,7.7,0,1,75.8
1471,Netherlands,European Union,2009,4.6,65.6915,9.12,88,25.5,97,97,0.06,44028,11.9,1,0,80.5
1472,"Yemen, Rep.",Middle East,2008,62.4,241.32,0.038,78,23.1,78,78,0.03,2574,2.3,0,1,64.9
1473,Niger,Africa,2007,149.0,276.348,0.096,72,21.3,57,57,0.18,417,1.4,0,1,55.0
1474,Papua New Guinea,Oceania,2005,64.9,250.8075,0.8,63,24.6,61,72,0.56,1888,3.5,0,1,60.5
1475,Chad,Africa,2009,151.7,387.5995,0.67,24,21.6,32,24,0.67,659,1.8,0,1,50.3
1476,Mauritius,Africa,2012,14.9,147.395,3.17,98,25.1,98,98,0.89,8384,8.6,0,1,73.9
1477,North Macedonia,Rest of Europe,2002,14.3,119.958,4.67,69,25.8,97,96,0.08,3240,7.1,0,1,73.0
1478,"Micronesia, Fed. Sts.",Oceania,2005,34.7,177.472,1.9,91,29.0,94,94,0.17,3023,6.0,0,1,65.5
1479,Eritrea,Africa,2003,73.8,360.1825,0.62,91,20.3,95,93,0.47,796,3.7,0,1,57.2
1480,Zimbabwe,Africa,2015,61.3,368.141,3.84,87,23.8,88,87,3.86,1445,8.2,0,1,59.5
1481,Italy,European Union,2002,5.0,72.478,9.25,95,25.5,96,93,0.09,32998,8.8,1,0,80.2
1482,United Kingdom,Rest of Europe,2012,4.8,69.147,9.53,88,27.0,95,95,0.08,43100,12.9,1,0,80.9
1483,Lesotho,Africa,2011,93.9,538.191,2.38,96,24.7,95,96,11.51,1037,5.8,0,1,46.2
1484,United States,North America,2007,7.7,109.026,8.74,93,28.3,93,96,0.13,54300,12.9,1,0,78.0
1485,Solomon Islands,Oceania,2008,27.8,179.355,1.07,89,25.6,88,89,0.17,1976,5.0,0,1,70.1
1486,Nigeria,Africa,2014,127.9,360.3385,4.45,49,23.2,40,49,0.58,2688,5.9,0,1,52.7
1487,Bulgaria,European Union,2013,9.3,133.448,10.32,95,26.2,95,95,0.03,6693,10.9,1,0,74.9
1488,Poland,European Union,2000,9.3,152.9305,8.4,99,25.4,98,98,0.08,7357,11.1,1,0,73.7
1489,Zimbabwe,Africa,2012,72.2,423.442,3.93,97,23.7,95,95,5.13,1432,7.9,0,1,55.0
1490,Iceland,Rest of Europe,2004,3.4,61.9875,6.71,88,25.7,99,99,0.03,46766,9.9,1,0,81.0
1491,Malta,European Union,2015,6.6,51.8135,7.37,95,27.1,97,97,0.08,24922,11.2,1,0,81.9
1492,Georgia,Rest of Europe,2002,31.5,168.977,2.74,51,26.0,89,84,0.03,1775,11.9,0,1,70.2
1493,Ethiopia,Africa,2003,121.8,369.5585,0.14,52,20.0,54,37,0.83,259,1.7,0,1,54.2
1494,Belgium,European Union,2013,4.2,75.9595,10.33,98,26.0,99,99,0.08,39970,11.4,1,0,80.6
1495,New Zealand,Oceania,2008,6.3,73.0145,9.48,90,27.5,89,89,0.04,35655,11.8,1,0,80.4
1496,Sierra Leone,Africa,2013,141.2,406.0525,3.12,92,22.6,92,92,0.95,740,3.3,0,1,51.7
1497,Singapore,Asia,2003,3.2,71.202,1.43,95,23.5,96,96,0.15,36710,9.8,0,1,79.0
1498,Slovak Republic,European Union,2007,7.7,137.7115,10.96,99,25.8,99,99,0.01,13734,11.1,1,0,74.2
1499,Nepal,Asia,2002,70.4,221.783,0.19,46,20.9,72,72,0.17,570,2.5,0,1,63.6
1500,Tonga,Oceania,2012,12.8,138.9635,0.22,77,31.9,95,77,0.17,4108,10.9,0,1,70.2
1501,"Bahamas, The",Central America and Caribbean,2012,14.9,163.272,9.37,96,27.7,99,98,0.39,32652,11.1,0,1,72.4
1502,Kenya,Africa,2015,48.9,223.608,1.65,89,23.3,83,89,1.15,1465,6.3,0,1,64.8
1503,Cameroon,Africa,2008,117.6,368.451,5.5,84,23.8,82,84,2.27,1249,5.2,0,1,54.2
1504,Timor-Leste,Oceania,2006,76.1,189.4355,0.039,75,20.3,62,63,0.06,862,3.4,0,1,64.8
1505,Canada,North America,2003,6.2,77.6255,7.7,14,26.5,88,91,0.1,36024,11.7,1,0,79.7
1506,Lithuania,European Union,2011,5.5,184.524,14.76,95,26.3,92,92,0.09,12047,11.8,1,0,73.6
1507,Armenia,Rest of Europe,2004,25.0,141.353,3.73,91,25.8,93,91,0.08,2062,10.8,0,1,72.5
1508,Bangladesh,Asia,2014,40.1,132.246,0.01,97,21.5,97,97,0.01,1185,5.2,0,1,71.2
1509,Germany,European Union,2006,4.6,82.246,11.76,87,26.1,94,96,0.08,36699,13.6,1,0,79.1
1510,Papua New Guinea,Oceania,2012,55.2,230.8385,0.94,68,25.2,65,74,0.38,2266,4.2,0,1,62.6
1511,Tonga,Oceania,2005,14.7,150.2735,1.89,89,31.6,99,89,0.17,3875,9.2,0,1,69.8
1512,Cambodia,Asia,2012,37.7,186.6,2.52,86,21.8,90,86,0.12,993,4.5,0,1,67.5
1513,"Gambia, The",Africa,2005,91.5,287.749,3.31,95,22.7,94,95,1.44,711,2.4,0,1,57.9
1514,Bosnia and Herzegovina,Rest of Europe,2009,7.5,104.296,4.69,90,25.3,90,90,0.08,4028,7.7,0,1,75.8
1515,Djibouti,Africa,2010,76.6,272.2445,0.48,88,23.9,88,88,0.43,1343,4.0,0,1,60.1
1516,Ukraine,Rest of Europe,2006,14.0,263.497,7.42,96,26.1,99,98,0.35,2322,11.2,0,1,68.1
1517,Eswatini,Africa,2001,115.8,591.9355,6.7,86,25.6,87,84,20.8,2477,3.7,0,1,45.8
1518,Mongolia,Asia,2014,20.4,215.2245,9.88,99,26.0,99,99,0.02,3860,10.1,0,1,68.9
1519,Canada,North America,2004,6.1,75.8795,7.8,14,26.6,91,91,0.1,37086,12.0,1,0,79.9
1520,Costa Rica,Central America and Caribbean,2005,11.3,95.7985,4.11,90,26.3,91,91,0.15,8606,7.9,0,1,78.1
1521,Vietnam,Asia,2001,28.5,138.4385,0.76,87,20.0,96,96,0.25,1230,5.6,0,1,73.2
1522,Slovenia,European Union,2013,2.8,77.3625,9.53,88,26.3,95,95,0.02,19922,11.7,1,0,80.3
1523,Poland,European Union,2011,5.7,126.5725,10.24,98,26.2,96,99,0.08,11369,12.3,1,0,76.7
1524,Mozambique,Africa,2001,161.0,440.8905,0.65,76,21.7,72,73,3.5,321,2.4,0,1,49.3
1525,Philippines,Asia,2004,34.9,211.6655,4.42,48,22.4,85,88,0.01,2018,8.6,0,1,69.0
1526,New Zealand,Oceania,2002,7.0,82.496,9.09,89,26.9,84,90,0.03,32657,11.6,1,0,78.8
1527,Chad,Africa,2000,184.0,406.9915,0.3,27,20.9,30,36,1.39,375,1.4,0,1,47.7
1528,Sao Tome and Principe,Central America and Caribbean,2009,39.3,199.2275,4.34,98,24.4,99,98,0.36,1348,4.8,0,1,66.9
1529,Australia,Oceania,2002,6.0,71.935,9.84,95,26.4,92,92,0.04,47127,11.8,1,0,79.9
1530,Montenegro,Rest of Europe,2015,4.0,100.861,8.49,82,26.5,89,89,0.03,6517,11.3,0,1,76.4
1531,Cambodia,Asia,2003,78.0,236.439,0.84,84,20.9,69,69,0.45,575,3.4,0,1,61.2
1532,Gabon,Africa,2004,75.8,319.386,8.02,70,24.2,44,45,2.84,7507,6.8,0,1,57.9
1533,Singapore,Asia,2006,2.9,65.786,1.55,95,23.5,95,95,0.14,44160,10.1,0,1,80.1
1534,Fiji,Oceania,2012,23.5,191.3835,2.43,99,27.3,99,99,0.11,4683,10.1,0,1,66.9
1535,Greece,European Union,2015,4.4,70.7555,6.68,96,27.1,99,99,0.06,18084,10.6,1,0,81.0
1536,Mongolia,Asia,2001,58.5,266.119,2.18,95,24.4,95,95,0.01,1624,8.3,0,1,63.3
1537,Vietnam,Asia,2003,26.4,136.971,0.93,78,20.2,96,99,0.26,1372,6.0,0,1,73.7
1538,Bosnia and Herzegovina,Rest of Europe,2004,9.1,111.9335,4.38,92,25.0,87,84,0.08,3371,7.3,0,1,75.1
1539,Barbados,Central America and Caribbean,2004,15.7,118.7115,7.43,93,26.8,93,93,0.57,16369,9.2,0,1,77.8
1540,Lao PDR,Asia,2006,82.9,237.688,3.71,57,21.7,56,57,0.16,1253,4.3,0,1,62.2
1541,Brunei Darussalam,Asia,2007,9.5,91.9455,0.83,97,26.0,95,99,0.1,35065,8.6,0,1,74.4
1542,Malta,European Union,2010,6.7,55.7385,6.99,75,27.1,76,76,0.08,20558,10.3,1,0,81.4
1543,Honduras,Central America and Caribbean,2004,30.6,164.069,2.83,93,25.3,94,94,0.22,1913,4.6,0,1,71.8
1544,Switzerland,Rest of Europe,2012,4.4,53.4515,9.87,88,25.1,96,96,0.06,82800,13.4,1,0,82.7
1545,Tajikistan,Asia,2004,60.1,161.477,0.7,81,24.5,82,86,0.03,602,10.5,0,1,65.3
1546,Bangladesh,Asia,2013,42.2,134.7385,0.0,96,21.4,96,96,0.01,1130,5.1,0,1,70.9
1547,Philippines,Asia,2005,34.2,210.905,4.19,49,22.5,90,89,0.01,2078,8.7,0,1,69.1
1548,Kyrgyz Republic,Asia,2014,23.5,171.816,6.18,96,26.4,95,96,0.13,1102,10.8,0,1,70.4
1549,Lebanon,Middle East,2001,18.7,97.5565,2.32,80,26.4,80,80,0.02,6712,7.5,0,1,75.0
1550,North Macedonia,Rest of Europe,2014,11.2,98.63,3.56,97,26.6,96,95,0.08,4687,9.5,0,1,75.5
1551,Botswana,Africa,2005,67.0,498.38,6.38,92,23.9,96,96,11.63,4986,8.3,0,1,52.1
1552,Russian Federation,Rest of Europe,2010,10.4,250.947,10.82,97,26.1,98,97,0.08,8755,11.5,0,1,68.8
1553,Uruguay,South America,2005,14.4,117.821,6.26,96,26.3,96,96,0.19,10170,8.0,0,1,75.8
1554,Slovak Republic,European Union,2002,9.1,145.3625,11.16,99,25.6,98,99,0.01,9641,10.3,1,0,73.6
1555,New Zealand,Oceania,2007,6.4,75.011,9.2,88,27.4,88,88,0.04,36363,11.8,1,0,80.2
1556,North Macedonia,Rest of Europe,2010,10.4,106.0775,3.53,90,26.3,95,95,0.08,4340,9.1,0,1,75.0
1557,Jamaica,Central America and Caribbean,2011,17.5,137.7585,2.99,92,27.1,93,92,0.57,4946,9.0,0,1,74.0
1558,Bolivia,South America,2015,31.3,184.52,3.15,99,26.4,99,99,0.15,3036,8.7,0,1,70.3
1559,Myanmar,Asia,2010,63.7,208.6165,0.97,92,22.1,90,90,0.34,903,4.1,0,1,63.5
1560,Slovak Republic,European Union,2005,8.2,139.5745,11.06,99,25.7,99,99,0.01,11426,10.8,1,0,73.9
1561,Azerbaijan,Asia,2013,30.3,129.6915,0.52,93,26.7,96,93,0.06,5426,10.8,0,1,71.8
1562,Papua New Guinea,Oceania,2002,68.8,265.5145,0.58,60,24.3,54,61,0.64,1801,3.4,0,1,59.7
1563,Tonga,Oceania,2010,13.2,142.208,1.24,82,31.8,99,82,0.17,3769,10.7,0,1,70.1
1564,El Salvador,Central America and Caribbean,2001,31.3,218.122,2.76,75,26.1,94,92,0.39,2999,5.3,0,1,69.2
1565,Ireland,European Union,2015,3.7,61.0195,10.81,95,27.4,95,95,0.07,62012,12.3,1,0,81.5
1566,Canada,North America,2005,6.1,75.7275,8.0,14,26.6,93,93,0.1,38573,12.2,1,0,80.2
1567,Mongolia,Asia,2000,63.5,268.2505,2.15,93,24.3,94,94,0.01,1592,8.2,0,1,62.9
1568,Croatia,European Union,2014,5.0,92.863,9.5,95,27.1,95,95,0.02,11544,11.1,1,0,77.5
1569,"Venezuela, RB",South America,2002,20.3,157.644,6.99,60,26.3,81,65,0.4,3701,6.8,0,1,72.5
1570,Switzerland,Rest of Europe,2009,4.6,59.034,10.15,88,25.1,96,95,0.06,80262,13.3,1,0,82.0
1571,Burkina Faso,Africa,2005,153.1,305.8365,5.87,86,21.4,94,82,0.58,518,1.3,0,1,53.3
1572,Lesotho,Africa,2013,92.6,523.0825,2.55,93,24.8,90,93,11.55,1109,6.0,0,1,48.7
1573,Colombia,South America,2012,17.1,144.2095,4.37,92,25.9,91,91,0.21,5631,7.6,0,1,75.9
1574,Morocco,Africa,2009,33.0,87.1205,0.53,98,25.3,99,99,0.05,2473,4.2,0,1,74.0
1575,Austria,European Union,2000,5.5,94.882,13.35,33,25.0,71,81,0.08,38843,9.0,1,0,78.1
1576,Chile,South America,2011,8.5,94.631,7.02,94,27.5,93,94,0.18,12339,9.8,0,1,79.0
1577,Niger,Africa,2008,139.3,273.319,0.11,72,21.4,68,67,0.14,432,1.4,0,1,55.8
1578,El Salvador,Central America and Caribbean,2006,23.8,206.0165,2.67,96,26.7,96,96,0.28,3262,6.4,0,1,70.3
1579,France,European Union,2004,4.8,92.3955,13.14,35,25.0,99,98,0.11,34900,10.3,1,0,80.2
1580,Nicaragua,Central America and Caribbean,2001,36.5,193.7615,3.48,87,25.9,89,87,0.14,1466,5.2,0,1,69.9
1581,Dominican Republic,Central America and Caribbean,2007,35.7,174.858,5.92,81,25.6,86,85,0.65,5309,7.2,0,1,71.3
1582,North Macedonia,Rest of Europe,2008,11.7,110.659,4.02,97,26.1,96,95,0.08,4231,8.7,0,1,74.4
1583,Kuwait,Middle East,2012,9.6,61.6325,0.0,98,29.2,98,98,0.13,33455,7.2,0,1,74.7
1584,Samoa,Oceania,2006,19.3,148.0145,3.52,35,31.1,49,39,0.17,3955,9.5,0,1,70.6
1585,United Arab Emirates,Middle East,2004,10.1,86.7395,1.59,92,27.5,94,94,0.13,57910,8.9,0,1,75.2
1586,Uzbekistan,Asia,2007,37.0,173.085,1.75,99,25.6,98,96,0.14,1787,10.1,0,1,68.9
1587,Croatia,European Union,2015,4.9,90.2285,9.64,94,27.3,94,94,0.02,11933,11.2,1,0,77.3
1588,Malta,European Union,2009,6.7,56.4985,7.1,86,27.1,73,73,0.08,19574,10.2,1,0,80.2
1589,Estonia,European Union,2014,3.3,123.2,17.29,93,26.3,93,93,0.08,17097,12.6,1,0,77.0
1590,"Bahamas, The",Central America and Caribbean,2006,16.7,176.668,9.82,96,27.2,94,95,0.59,35863,10.9,0,1,72.0
1591,Botswana,Africa,2000,80.5,561.532,5.38,86,23.6,97,97,19.66,4569,7.6,0,1,50.6
1592,Sri Lanka,Asia,2007,12.8,127.15,2.29,98,22.2,98,98,0.02,2543,10.6,0,1,75.0
1593,Netherlands,European Union,2006,5.1,70.055,9.58,88,25.4,96,96,0.06,43592,11.8,1,0,79.7
1594,Sri Lanka,Asia,2010,11.4,120.153,2.31,99,22.5,99,99,0.01,2950,10.8,0,1,75.4
1595,Tonga,Oceania,2009,13.4,143.8305,1.08,84,31.8,99,84,0.17,3742,10.4,0,1,70.0
1596,Malaysia,Asia,2008,8.1,128.5065,0.5,97,24.8,97,97,0.18,8074,9.4,0,1,74.1
1597,Nicaragua,Central America and Caribbean,2004,31.3,181.9365,3.75,79,26.2,80,79,0.13,1529,5.4,0,1,70.9
1598,Armenia,Rest of Europe,2003,26.3,139.9,3.0,93,25.8,96,94,0.08,1856,10.8,0,1,72.3
1599,St. Vincent and the Grenadines,Central America and Caribbean,2006,21.3,170.3485,6.22,99,26.1,99,99,0.4,6918,8.0,0,1,71.4
1600,Eritrea,Africa,2001,81.1,371.292,0.67,87,20.2,89,86,0.59,870,3.7,0,1,55.9
1601,Bangladesh,Asia,2006,61.0,150.565,0.003,86,20.7,95,94,0.01,809,4.6,0,1,68.2
1602,Malawi,Africa,2014,57.6,305.0855,2.01,91,22.8,87,91,2.95,381,4.4,0,1,61.0
1603,Kyrgyz Republic,Asia,2015,22.3,165.7935,5.37,97,26.5,97,97,0.12,1121,10.8,0,1,70.7
1604,Nigeria,Africa,2013,129.4,364.4625,4.45,46,23.1,41,46,0.62,2597,5.9,0,1,52.2
1605,Austria,European Union,2009,4.5,76.57,11.87,83,25.4,83,83,0.08,42655,11.7,1,0,80.3
1606,Serbia,Rest of Europe,2007,8.1,137.2965,9.42,99,25.6,93,94,0.02,4968,10.2,0,1,73.6
1607,Honduras,Central America and Caribbean,2012,21.5,150.585,2.71,97,26.3,98,97,0.07,2207,5.5,0,1,73.8
1608,Dominican Republic,Central America and Caribbean,2006,36.0,176.789,5.84,84,25.5,88,89,0.7,5007,7.1,0,1,71.0
1609,Zambia,Africa,2012,74.7,323.004,2.78,78,22.3,70,78,5.26,1298,6.7,0,1,58.5
1610,Brunei Darussalam,Asia,2014,10.4,89.377,0.67,99,26.9,99,99,0.1,31679,9.0,0,1,75.2
1611,Ethiopia,Africa,2007,97.0,306.7815,0.31,47,20.2,61,50,0.52,363,2.1,0,1,58.5
1612,Sao Tome and Principe,Central America and Caribbean,2010,36.1,197.987,5.0,98,24.4,98,98,0.31,1402,4.9,0,1,67.4
1613,Switzerland,Rest of Europe,2015,4.3,49.384,9.62,88,25.2,96,97,0.05,84776,13.4,1,0,82.9
1614,Albania,Rest of Europe,2014,9.9,76.724,4.1,98,26.5,98,98,0.03,3856,9.7,0,1,77.8
